,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,initial_list_status,application_type
44694,43679652,46696376,24000,24000,24000.0,0,7.89,750.89,A,4,OWNER,8,2,250000.0,Source Verified,18,1,https://lendingclub.com/browse/loanDetail.action?loan_id=43679652,,debt_consolidation,Debt consolidation,117xx,NY,17.7,0,Jan-90,1,15,0,63.0,33,1,INDIVIDUAL
44703,44633220,47700936,10000,10000,10000.0,0,11.53,329.8,B,9,HVAC/R Technician,3,0,37000.0,Source Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=44633220,,debt_consolidation,Debt consolidation,852xx,AZ,19.6,8,Nov-98,0,16,0,45.0,18,1,INDIVIDUAL
44707,11326396,13238559,8575,8575,8575.0,0,13.98,292.77,C,10,Manager,10,0,51390.0,Verified,32,1,https://lendingclub.com/browse/loanDetail.action?loan_id=11326396,,debt_consolidation,Debt consolidation,900xx,CA,24.8,0,Sep-99,0,10,0,68.0,27,0,INDIVIDUAL
44739,49247923,52556651,18000,18000,18000.0,0,18.55,655.16,E,21,GM,2,0,85000.0,Source Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=49247923,,debt_consolidation,Debt consolidation,161xx,PA,21.31,0,Jul-03,2,14,2,31.0,31,0,INDIVIDUAL
44742,21971640,24294575,10475,10475,10475.0,0,14.49,360.79,C,13,"Fuel Center ""Manager""",6,1,30000.0,Not Verified,26,1,https://lendingclub.com/browse/loanDetail.action?loan_id=21971640,,debt_consolidation,Debt consolidation,750xx,TX,19.48,1,Apr-00,3,13,1,29.0,65,0,INDIVIDUAL
44747,57365664,61068419,34700,34700,34575.0,1,18.25,885.91,E,20,Information Technologies Specialist,10,2,75000.0,Source Verified,13,1,https://lendingclub.com/browse/loanDetail.action?loan_id=57365664,,debt_consolidation,Debt consolidation,840xx,UT,31.5,1,Feb-00,0,14,0,80.4,25,0,INDIVIDUAL
44748,522498,675852,10000,10000,9945.509691,1,15.21,239.07,D,16,target corp,2,0,33600.0,Verified,75,1,https://lendingclub.com/browse/loanDetail.action?loan_id=522498,"Borrower added on 05/26/10 > Although my original loan amount of $25,000 was denied, Thank you for the loan $10,000 amount. It helps tremendously.<br/> Borrower added on 06/05/10 > The term is for 5 years however the loan will most likely be paid in less than 2 years.<br/>",major_purchase,property purchase,913xx,CA,4.5,0,Apr-99,2,5,0,77.1,5,0,INDIVIDUAL
44766,1221841,1462899,21000,21000,20750.0,0,12.12,698.68,B,7,county of orange,9,2,115000.0,Source Verified,53,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1221841,"Borrower added on 04/02/12 > I have several credit cards with high balances and high interest rates. I will be using this loan to pay them down. My payment credit is perfect, never late. my score has been close to 800 in the past but is lower now due to high revolving debt.<br>",debt_consolidation,CC payoff,926xx,CA,20.97,0,Apr-00,0,9,0,86.0,31,0,INDIVIDUAL
44770,54374676,57955429,6000,6000,6000.0,0,12.69,200.8,C,11,Security officer,1,0,17000.0,Not Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=54374676,,debt_consolidation,Debt consolidation,331xx,FL,23.44,0,Sep-06,1,7,0,28.6,19,1,INDIVIDUAL
44778,40490626,43355367,16525,16525,16525.0,1,14.31,387.34,C,13,driver,1,1,60000.0,Source Verified,19,1,https://lendingclub.com/browse/loanDetail.action?loan_id=40490626,,home_improvement,Home improvement,117xx,NY,4.76,0,Feb-95,0,15,1,23.6,53,1,INDIVIDUAL
44779,10159701,12011314,15000,15000,15000.0,0,12.85,504.35,B,8,Loan Officer,2,1,65000.0,Not Verified,32,1,https://lendingclub.com/browse/loanDetail.action?loan_id=10159701,,credit_card,Refi,080xx,NJ,5.08,0,Dec-04,2,8,0,54.7,14,0,INDIVIDUAL
44781,89919129,96312991,35000,35000,35000.0,0,12.79,1175.66,C,10,Air Operations Supervisor,9,2,104000.0,Verified,0,1,https://lendingclub.com/browse/loanDetail.action?loan_id=89919129,,debt_consolidation,Debt consolidation,750xx,TX,29.54,0,May-03,0,10,0,86.1,24,0,INDIVIDUAL
44787,4282206,5464931,3500,3500,3500.0,0,18.49,127.52,D,16,senior resourse group,6,0,45000.0,Not Verified,40,1,https://lendingclub.com/browse/loanDetail.action?loan_id=4282206,,credit_card,creidit loan,931xx,CA,21.93,0,Jan-07,0,11,0,73.9,17,0,INDIVIDUAL
44792,65057214,69593927,15000,15000,15000.0,1,18.99,388.86,E,22,IT Director,2,2,95000.0,Source Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=65057214,,debt_consolidation,Debt consolidation,371xx,TN,18.42,0,Oct-70,0,12,1,72.6,31,0,INDIVIDUAL
44804,4865259,6157549,8200,8200,8200.0,0,18.85,299.81,D,17,BrightHouse Networks,10,0,63000.0,Verified,38,1,https://lendingclub.com/browse/loanDetail.action?loan_id=4865259,,debt_consolidation,Pay off Debt,346xx,FL,18.73,1,Aug-96,1,9,1,40.1,28,1,INDIVIDUAL
44826,84474074,90521807,10800,10800,10800.0,0,12.79,362.84,C,10,Custodian,2,2,77000.0,Not Verified,2,1,https://lendingclub.com/browse/loanDetail.action?loan_id=84474074,,debt_consolidation,,760xx,TX,33.99,0,Jun-91,0,16,0,76.6,46,1,INDIVIDUAL
44831,63180779,67522663,16000,16000,16000.0,1,16.55,393.66,D,16,BUSINESS MANAGER,3,0,76000.0,Not Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=63180779,,debt_consolidation,Debt consolidation,563xx,MN,12.55,0,Dec-99,1,14,0,68.3,20,1,INDIVIDUAL
44867,68705125,73628930,24675,24675,24675.0,1,19.48,646.71,E,21,General manager,5,2,125000.0,Not Verified,8,1,https://lendingclub.com/browse/loanDetail.action?loan_id=68705125,,debt_consolidation,Debt consolidation,331xx,FL,10.66,0,Apr-92,1,10,0,85.0,27,1,INDIVIDUAL
44874,65875679,70570430,12000,12000,12000.0,0,10.64,390.82,B,8,Sales Manager,6,2,100000.0,Source Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=65875679,,credit_card,Credit card refinancing,864xx,AZ,10.17,0,Sep-04,0,10,0,63.9,18,1,INDIVIDUAL
44887,3265308,4017545,10000,10000,9900.0,0,13.11,337.0,B,8,Kendall Toyota,10,2,49000.0,Source Verified,43,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3265308,,debt_consolidation,Journey,330xx,FL,17.85,1,May-98,1,15,0,50.0,36,0,INDIVIDUAL
44903,77199081,82767827,4000,4000,4000.0,0,11.99,132.62,C,10,teacher,5,1,56000.0,Not Verified,5,1,https://lendingclub.com/browse/loanDetail.action?loan_id=77199081,,debt_consolidation,Debt consolidation,080xx,NJ,22.51,0,Nov-04,0,21,0,73.6,37,1,INDIVIDUAL
44904,60790909,64832641,5000,5000,5000.0,0,13.99,170.77,C,13,Technician,10,0,41000.0,Source Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=60790909,,medical,Medical expenses,920xx,CA,20.29,0,Jul-04,0,11,2,31.8,31,0,INDIVIDUAL
44908,46755610,49903447,9000,9000,9000.0,0,12.69,301.93,C,11,Director of client services,1,2,45000.0,Source Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=46755610,,home_improvement,Home improvement,334xx,FL,12.18,0,Aug-87,0,9,0,67.2,27,0,INDIVIDUAL
44909,7957159,9679191,6250,6250,6250.0,0,14.3,214.7,C,10,,-1,2,63900.0,Verified,34,1,https://lendingclub.com/browse/loanDetail.action?loan_id=7957159,,home_improvement,backyard and fence improvement,327xx,FL,17.62,2,Jan-91,1,9,0,83.7,20,0,INDIVIDUAL
44926,9867828,11719705,2400,2400,2400.0,0,14.47,82.29,C,11,GENERAL MANAGER,1,1,55000.0,Source Verified,33,1,https://lendingclub.com/browse/loanDetail.action?loan_id=9867828,,other,Other,088xx,NJ,18.21,0,Oct-99,0,9,0,0.1,22,0,INDIVIDUAL
44936,4775910,6048126,10000,10000,10000.0,0,18.75,365.52,D,17,State of Utah,8,0,38000.0,Verified,40,1,https://lendingclub.com/browse/loanDetail.action?loan_id=4775910,,debt_consolidation,Consolidation,840xx,UT,15.18,0,Feb-93,2,5,0,90.4,6,1,INDIVIDUAL
44948,51857164,55286897,15700,15700,15700.0,0,21.99,599.88,F,25,Senior PSR,1,0,35000.0,Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=51857164,,debt_consolidation,Debt consolidation,020xx,MA,11.0,0,Feb-12,1,5,0,80.4,5,1,INDIVIDUAL
44967,88816439,95159305,26000,26000,26000.0,0,15.59,908.85,C,14,Director of patient care,1,0,95000.0,Source Verified,0,1,https://lendingclub.com/browse/loanDetail.action?loan_id=88816439,,debt_consolidation,Debt consolidation,349xx,FL,19.36,0,Sep-97,1,15,1,47.3,52,1,JOINT
44971,25296893,27749701,35000,35000,35000.0,1,19.52,918.27,E,21,International Fishing Tool Supervisor,10,2,225000.0,Verified,25,1,https://lendingclub.com/browse/loanDetail.action?loan_id=25296893,,home_improvement,Home improvement,797xx,TX,11.08,0,May-82,3,17,0,78.8,31,1,INDIVIDUAL
44983,40402037,43266838,16000,16000,16000.0,1,14.31,374.87,C,13,Real Estate Agent,1,0,45000.0,Source Verified,19,1,https://lendingclub.com/browse/loanDetail.action?loan_id=40402037,,debt_consolidation,Debt consolidation,218xx,MD,19.82,0,Dec-90,0,11,0,76.6,17,1,INDIVIDUAL
44993,50486883,53866665,20000,20000,20000.0,0,8.18,628.54,B,5,Director of Elementary school Academy,1,0,60000.0,Source Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=50486883,,credit_card,Credit card refinancing,270xx,NC,16.81,0,Aug-01,0,4,0,69.0,15,1,INDIVIDUAL
44999,42484906,45451694,25000,25000,25000.0,1,25.8,745.86,G,30,Fire Captain,10,2,122000.0,Source Verified,18,1,https://lendingclub.com/browse/loanDetail.action?loan_id=42484906,,debt_consolidation,Debt consolidation,142xx,NY,9.71,0,Sep-96,0,8,0,59.2,12,0,INDIVIDUAL
45002,51476215,54885929,30000,30000,30000.0,1,18.25,765.96,E,20,Director of Admissions,3,2,99000.0,Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=51476215,,credit_card,Credit card refinancing,606xx,IL,22.69,2,May-99,0,22,0,72.9,52,1,INDIVIDUAL
45020,39611700,42435526,32000,32000,32000.0,1,14.31,749.91,C,13,driller,5,2,105000.0,Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=39611700,,debt_consolidation,Debt consolidation,797xx,TX,19.06,0,Feb-05,0,13,0,50.4,51,1,INDIVIDUAL
45022,1032519,1262161,8000,8000,3975.0,0,14.65,275.88,C,12,Southern Felt,10,0,72000.0,Source Verified,58,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1032519,Borrower added on 11/18/11 > Debt Consolidation<br> Borrower added on 11/19/11 > I have a stable job. This would be a lower rate than one of my current credit cards.<br>,debt_consolidation,bebt consolidation,278xx,NC,22.29,0,Nov-97,1,10,0,85.8,31,0,INDIVIDUAL
45025,4306228,5488543,20000,20000,20000.0,0,12.12,665.46,B,7,WEST COAST SWITCHGEAR,10,2,50000.0,Verified,40,1,https://lendingclub.com/browse/loanDetail.action?loan_id=4306228,,major_purchase,Major purchase,906xx,CA,7.76,2,Sep-94,0,7,0,47.5,23,0,INDIVIDUAL
45026,36440669,39152032,25000,25000,25000.0,1,24.99,733.69,F,28,System Engineer,10,2,75000.0,Source Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=36440669,,debt_consolidation,Debt consolidation,080xx,NJ,21.82,0,May-97,0,11,0,29.8,56,1,INDIVIDUAL
45033,38525080,41238868,15000,15000,15000.0,1,17.14,373.72,D,18,Programmer,10,2,100000.0,Source Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=38525080,,credit_card,Credit card refinancing,762xx,TX,25.65,0,Sep-97,2,24,0,16.3,51,0,INDIVIDUAL
45035,74866348,80290105,20000,20000,20000.0,1,12.99,455.19,C,11,owner,10,0,150000.0,Not Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=74866348,,debt_consolidation,Debt consolidation,079xx,NJ,15.54,0,Apr-99,0,9,0,85.7,28,1,INDIVIDUAL
45037,10884756,12766907,25000,25000,25000.0,1,19.99,662.55,E,20,Onboard Servs,9,0,68000.0,Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=10884756,,credit_card,Credit card refinancing,981xx,WA,34.25,0,Jun-03,2,32,0,66.7,53,1,INDIVIDUAL
45052,56020143,59681937,20000,20000,20000.0,1,16.99,497.22,D,17,Radiology technologist,10,2,67000.0,Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=56020143,,debt_consolidation,Debt consolidation,725xx,AR,28.73,1,Dec-85,1,15,1,16.4,45,1,INDIVIDUAL
45056,59122954,63010773,6000,6000,6000.0,0,12.29,199.89,C,10,Teacher,10,2,63000.0,Not Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=59122954,,debt_consolidation,Debt consolidation,486xx,MI,18.35,1,Mar-97,0,8,0,84.8,21,0,INDIVIDUAL
45059,61862616,66055345,15000,15000,15000.0,0,16.99,534.79,D,17,Payroll Manager,3,1,80000.0,Source Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=61862616,,debt_consolidation,Debt consolidation,334xx,FL,22.24,0,Apr-00,3,13,0,34.8,31,1,INDIVIDUAL
45078,55180028,58750798,20000,20000,20000.0,1,9.17,416.66,B,6,Controller,3,1,75000.0,Verified,13,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55180028,,debt_consolidation,Debt consolidation,287xx,NC,24.87,0,Jul-88,0,13,0,68.9,26,1,INDIVIDUAL
45108,76945409,82502128,3000,3000,3000.0,0,19.99,111.42,E,20,Supervisor,10,0,36000.0,Source Verified,5,1,https://lendingclub.com/browse/loanDetail.action?loan_id=76945409,,moving,Moving and relocation,917xx,CA,22.73,1,Oct-03,1,6,0,15.6,10,1,INDIVIDUAL
45112,1369117,1613658,15850,15850,,0,19.22,582.55,D,19,Dovenmuehle Mortgage Inc,7,0,40000.0,Verified,50,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1369117,Borrower added on 06/16/12 > Pay off credit cards<br>,debt_consolidation,cc,600xx,IL,15.7,0,Feb-02,1,8,0,95.4,10,0,INDIVIDUAL
45124,56370123,60041835,2000,2000,2000.0,0,13.33,68.1,C,12,Office manager,10,0,40000.0,Verified,13,1,https://lendingclub.com/browse/loanDetail.action?loan_id=56370123,,debt_consolidation,Debt consolidation,381xx,TN,26.81,0,Oct-98,0,12,0,84.6,27,1,INDIVIDUAL
45138,43054787,46051539,11500,11500,11500.0,1,15.61,276.92,D,15,machine operator,7,0,39000.0,Source Verified,18,1,https://lendingclub.com/browse/loanDetail.action?loan_id=43054787,,debt_consolidation,Debt consolidation,560xx,MN,33.99,0,Nov-06,0,10,0,77.0,18,0,INDIVIDUAL
45140,13467776,15520065,10800,10800,10700.0,1,13.65,249.07,C,10,Security Office,5,2,32323.0,Source Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=13467776,,debt_consolidation,Debt consolidation,891xx,NV,15.85,1,Jun-03,0,11,0,51.0,18,0,INDIVIDUAL
45144,34061946,36735220,10275,10275,10275.0,0,13.66,349.3,C,12,Associate I Pharmacy Service and Deliver,1,2,60000.0,Source Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=34061946,,credit_card,Credit card refinancing,992xx,WA,11.09,1,Dec-03,2,16,1,44.0,42,0,INDIVIDUAL
45159,73692832,79030600,8000,8000,7925.0,0,28.99,335.25,G,34,VP of Construction Consulting,10,2,78000.0,Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=73692832,,house,Home buying,019xx,MA,8.15,0,Aug-03,2,9,0,10.9,10,1,INDIVIDUAL
45161,70934654,76026466,10000,10000,10000.0,0,11.47,329.62,B,9,Systems Engineer,1,0,70000.0,Source Verified,7,1,https://lendingclub.com/browse/loanDetail.action?loan_id=70934654,,credit_card,Credit card refinancing,787xx,TX,15.58,0,Oct-96,0,9,0,57.0,14,1,INDIVIDUAL
45174,717212,911273,5125,5125,5125.0,1,10.74,110.69,B,8,casey's general store,9,0,18900.0,Not Verified,65,1,https://lendingclub.com/browse/loanDetail.action?loan_id=717212,,other,paying bills off,669xx,KS,25.64,0,Apr-91,4,9,0,43.9,21,0,INDIVIDUAL
45176,16171132,18273642,15000,15000,15000.0,0,20.2,559.22,E,22,REGISTERED NURSE,8,1,110000.0,Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=16171132,,debt_consolidation,Debt consolidation,925xx,CA,9.39,2,Sep-02,1,16,0,50.5,32,1,INDIVIDUAL
45179,647417,828305,15000,15000,14975.0,0,10.74,489.43,B,8,"Intellicheck Mobilisa, Inc.",4,0,84500.0,Source Verified,67,1,https://lendingclub.com/browse/loanDetail.action?loan_id=647417,"Borrower added on 02/07/11 > This loan is to pay off a number of credit accounts and allow me to consolidate my payments.<br/><br/>Paying off: <br/>Chase CC, amount owed: about $4900.00<br/>Capital One Visa, amount owed: about $2400.00<br/>Amex Green card, amount owed: about $500.00<br/>Amex Blue card, amount owed: about $3600.00<br/>PayPal credit, amount owed: about $500.00<br/><br/>I am also getting married in June, and I was hoping to have a little left over for wedding expenses (getting married in my church, having hero sandwiches and salads for the &quot;reception,&quot; so it won't be a lot!)<br/><br/>Thanks for your interest.<br/>",debt_consolidation,Pay off Credit!,115xx,NY,11.93,0,Jul-79,0,7,0,92.1,25,0,INDIVIDUAL
45184,63568639,67958370,10000,10000,9900.0,1,17.57,251.39,D,18,LPN,1,2,34000.0,Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=63568639,,debt_consolidation,Debt consolidation,421xx,KY,35.93,0,Dec-03,2,8,1,78.0,19,0,INDIVIDUAL
45195,1014541,1242130,35000,35000,35000.0,0,14.27,1200.72,C,11,apa logistics,10,0,70000.0,Verified,58,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1014541,"Borrower added on 11/05/11 > what i plan is to pay off all loans and credit cards, and have this 1 month bill, i been with my company for 18 years and do not plan to leave.  i am a very good budget person and really want to just have this 1 payment each month<br/> Borrower added on 11/08/11 > Never late on any payments of bills I had or have, I believe on time payments make you a trustful person.   <br>",debt_consolidation,bills,073xx,NJ,16.83,0,Nov-99,0,5,0,90.0,13,0,INDIVIDUAL
45203,846511,1057909,5100,5100,5100.0,1,15.99,123.87,D,16,MAQUET CARDIOVASCULAR,4,0,67656.0,Source Verified,61,1,https://lendingclub.com/browse/loanDetail.action?loan_id=846511,,home_improvement,Home Improvement,070xx,NJ,12.25,0,Sep-07,2,11,0,0.2,16,0,INDIVIDUAL
45210,65765890,70398697,15000,15000,15000.0,0,12.05,498.56,C,10,Medical assistant,10,1,58000.0,Source Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=65765890,,credit_card,Credit card refinancing,928xx,CA,32.0,0,May-02,1,18,0,49.8,39,0,INDIVIDUAL
45232,33241741,35885110,7800,7800,7800.0,0,24.5,307.81,F,27,Teller,1,0,26000.0,Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=33241741,,moving,Moving and relocation,330xx,FL,27.3,0,Aug-02,1,17,0,65.7,39,1,INDIVIDUAL
45238,51879466,55309265,1800,1800,1800.0,0,12.29,60.02,C,10,Supervisor,5,0,35600.0,Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=51879466,,debt_consolidation,Debt consolidation,330xx,FL,25.26,0,Aug-10,0,14,0,23.2,21,1,INDIVIDUAL
45263,1419847,1670017,10000,10000,10000.0,0,15.31,348.22,C,11,City of Philadelphia,9,0,52000.0,Verified,49,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1419847,,debt_consolidation,Debt Consolidation,191xx,PA,14.39,0,Aug-95,1,7,0,78.5,17,0,INDIVIDUAL
45273,52939292,56439016,18000,18000,18000.0,0,11.53,593.69,B,9,Patient Care Specialist,3,2,52000.0,Not Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=52939292,,debt_consolidation,Debt consolidation,339xx,FL,20.06,0,Oct-04,1,10,0,71.0,22,1,INDIVIDUAL
45287,83953561,89961329,3500,3500,3500.0,0,13.49,118.92,C,11,Deputy Commissioner,8,1,115000.0,Verified,2,1,https://lendingclub.com/browse/loanDetail.action?loan_id=83953561,,home_improvement,Home improvement,103xx,NY,9.63,1,Mar-03,0,15,0,36.6,27,1,INDIVIDUAL
45291,27610766,30113842,15000,15000,15000.0,0,12.99,505.28,C,10,Head Women's Basketball Coach/Instructor,10,1,80000.0,Not Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=27610766,,medical,Medical expenses,809xx,CO,14.05,4,May-00,0,12,0,78.3,40,0,INDIVIDUAL
45294,50506872,53886645,25000,25000,25000.0,0,18.55,910.72,E,21,Mechinally,3,1,80000.0,Source Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=50506872,,debt_consolidation,Debt consolidation,480xx,MI,16.33,0,Nov-94,4,21,1,69.0,32,1,INDIVIDUAL
45300,51205780,54615512,6000,6000,6000.0,0,8.18,188.17,B,5,Truck driver,3,2,51000.0,Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=51205780,,credit_card,Credit card refinancing,630xx,MO,9.63,0,Sep-01,0,8,1,45.6,18,1,INDIVIDUAL
45338,44138269,47155011,18000,18000,18000.0,1,18.25,459.76,E,20,Registered Representative,4,2,59000.0,Source Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=44138269,,credit_card,Credit card refinancing,023xx,MA,33.15,3,Apr-76,1,14,0,71.0,30,0,INDIVIDUAL
45344,42904301,45901021,20000,20000,20000.0,0,12.69,670.92,C,11,rep,10,0,70000.0,Source Verified,18,1,https://lendingclub.com/browse/loanDetail.action?loan_id=42904301,,debt_consolidation,Debt consolidation,532xx,WI,10.23,0,Jun-06,2,10,0,46.8,17,1,INDIVIDUAL
45367,19147051,21349749,24125,24125,24125.0,1,18.24,615.48,D,19,RN,3,2,55000.0,Source Verified,27,1,https://lendingclub.com/browse/loanDetail.action?loan_id=19147051,,credit_card,Credit card refinancing,488xx,MI,30.55,0,Aug-94,0,10,0,82.1,38,1,INDIVIDUAL
45371,12835959,14858105,12000,12000,12000.0,1,12.49,269.73,B,9,const manager,10,2,67600.0,Not Verified,26,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12835959,,debt_consolidation,Debt consolidation,720xx,AR,21.69,0,Mar-01,1,11,0,59.1,37,1,INDIVIDUAL
45378,30485840,33039023,8000,8000,8000.0,0,10.99,261.79,B,7,Teacher,2,0,38000.0,Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=30485840,,debt_consolidation,Debt consolidation,857xx,AZ,18.67,0,May-03,1,21,0,20.3,61,0,INDIVIDUAL
45401,72576157,77822997,20000,20000,20000.0,0,21.18,755.15,E,22,Supervisor,3,0,65000.0,Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=72576157,,major_purchase,Major purchase,391xx,MS,24.84,0,Aug-12,2,8,0,38.9,11,1,INDIVIDUAL
45407,1604612,1875818,29175,29175,29175.0,1,21.0,788.99,E,21,American Transmission Company,7,2,74000.0,Verified,47,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1604612,"Borrower added on 10/10/12 > Credit Cards and loans that we don't see the balances decreasing will be rolled into a loan that actually has a horizon.  This means in 5 years, they will be gone instead of 10-20 years by making minimum payments.<br>",debt_consolidation,Debt Consolidation,535xx,WI,30.26,0,Aug-00,1,16,0,82.7,34,0,INDIVIDUAL
45408,77911879,83547607,10000,10000,10000.0,1,13.67,230.97,C,12,CODE ENFORCEMENT OFFICER,3,2,55000.0,Not Verified,4,1,https://lendingclub.com/browse/loanDetail.action?loan_id=77911879,,major_purchase,Major purchase,762xx,TX,8.83,0,May-12,0,7,0,40.8,9,1,INDIVIDUAL
45416,15429433,17501880,16000,16000,15950.0,1,14.64,377.67,C,12,QA mananger,10,1,80000.0,Source Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=15429433,,debt_consolidation,Debt consolidation,130xx,NY,16.45,0,Sep-05,0,13,0,23.8,17,0,INDIVIDUAL
45425,53914554,57455288,7200,7200,7200.0,0,6.24,219.76,A,1,Technical Publications Writer,3,0,70000.0,Source Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=53914554,,debt_consolidation,Debt consolidation,100xx,NY,11.41,0,Oct-07,0,7,0,22.1,7,0,INDIVIDUAL
45428,20869840,23212641,11200,11200,11200.0,1,13.35,256.86,C,11,Assistive/Computer Technician,4,0,36000.0,Source Verified,26,1,https://lendingclub.com/browse/loanDetail.action?loan_id=20869840,,credit_card,Credit card refinancing,113xx,NY,14.04,0,Oct-89,1,16,0,31.3,29,1,INDIVIDUAL
45438,17804156,19936667,15000,15000,15000.0,1,14.49,353.17,C,13,Teacher,5,2,50000.0,Source Verified,27,1,https://lendingclub.com/browse/loanDetail.action?loan_id=17804156,,debt_consolidation,Debt consolidation,361xx,AL,22.3,0,Jan-03,1,10,0,33.5,25,1,INDIVIDUAL
45444,46644454,49792309,16000,16000,16000.0,1,15.61,386.13,D,15,Dual Rate Dealer,3,0,48000.0,Source Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=46644454,,credit_card,Credit card refinancing,925xx,CA,15.63,0,Oct-03,0,4,0,72.2,8,1,INDIVIDUAL
45446,41170833,44046551,25000,25000,25000.0,1,18.84,646.33,E,21,Stylist,10,2,55000.0,Source Verified,19,1,https://lendingclub.com/browse/loanDetail.action?loan_id=41170833,,home_improvement,Home improvement,346xx,FL,20.92,0,Aug-95,0,12,0,67.8,32,0,INDIVIDUAL
45451,40512545,43377346,12775,12775,12775.0,0,13.66,434.98,C,12,Caregiver,7,0,103000.0,Not Verified,19,1,https://lendingclub.com/browse/loanDetail.action?loan_id=40512545,,debt_consolidation,Debt consolidation,120xx,NY,1.97,0,May-00,0,5,0,81.8,10,0,INDIVIDUAL
45452,2310537,2743105,23850,23850,23800.0,1,23.28,676.4,F,26,HealthSouth,10,2,60000.0,Verified,45,1,https://lendingclub.com/browse/loanDetail.action?loan_id=2310537,,small_business,Business Launch,761xx,TX,15.88,1,Jan-85,0,9,0,79.4,13,0,INDIVIDUAL
45488,1456190,1710460,10625,10625,10600.0,1,21.0,287.46,E,21,Niagara County,3,0,32000.0,Verified,49,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1456190,"Borrower added on 08/02/12 > I am planning on paying down the credit cards that have higher balances, so that I only have one payment.<br>",other,New Loan,143xx,NY,34.21,0,May-01,2,11,0,79.3,14,0,INDIVIDUAL
45526,22463764,24786456,8650,8650,8650.0,0,8.39,272.22,A,4,Buyer,9,2,46000.0,Source Verified,25,1,https://lendingclub.com/browse/loanDetail.action?loan_id=22463764,,debt_consolidation,Debt consolidation,913xx,CA,27.22,1,Dec-04,2,15,0,29.0,42,0,INDIVIDUAL
45545,32208759,34821973,25725,25725,25725.0,1,24.08,741.18,F,26,Prison Programs Coordinator and Full tim,3,0,60500.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=32208759,,debt_consolidation,Debt consolidation,860xx,AZ,21.34,0,Feb-76,1,28,0,93.5,42,1,INDIVIDUAL
